Review_ID,Customer_ID,Email,Product,Category,Brand,Price,Rating,Review,Review_Date,Verified_Purchase,Helpful_Votes,Sentiment
15,CUST00015,customer00015@gmail.com,Running Shoes,Fashion,Dell,2453.43,5.0,Excellent product,2024-02-02,No,48,Positive
16,CUST00016,customer00016@outlook.com,Laptop Bag,Accessories,Puma,4528.58,2.0,Not good,2024-05-31,No,36,Negative
17,CUST00017,customer00017@hotmail.com,Bluetooth Speaker,Electronics,Nike,2747.49,5.0,amazing product,2024-10-14,Yes,4,Positive
18,CUST00018,customer00018@yahoo.com,Smart Watch,Electronics,Puma,4118.06,2.0,not good,2024-08-17,Yes,43,Negative
19,CUST00019,customer00019@yahoo.com,Face Wash,Beauty,Boat,1423.52,,Amazing product,2024-12-26,No,46,Positive
20,CUST00020,customer00020@outlook.com,Backpack,Accessories,Boat,2528.61,4.0,Very good quality,2024-09-08,No,45,Positive
21,CUST00021,customer00021@outlook.com,Running Shoes,Fashion,Dell,2083.27,4.0,Amazing product,2024-11-10,No,33,Positive
22,CUST00022,customer00022@outlook.com,Wireless Mouse,Electronics,Nike,1687.36,2.0,Not good,2024-07-11,No,6,Negative
23,CUST00023,customer00023@hotmail.com,Laptop Bag,Accessories,Boat,1780.03,4.0,Very good quality,2024-05-10,Yes,43,Positive
24,CUST00024,customer00024@yahoo.com,Running Shoes,Fashion,Dell,3181.19,2.0,Product damaged,2024-05-23,Yes,42,Negative
25,CUST00025,customer00025@gmail.com,Backpack,Accessories,Puma,1996.52,5.0,Worth buying,2024-02-08,Yes,25,Positive
26,CUST00026,customer00026@hotmail.com,Face Wash,Beauty,HP,4498.66,4.0,Very good quality,2024-07-08,Yes,8,Positive
27,CUST00027,customer00027@yahoo.com,Backpack,Accessories,Nike,4644.52,5.0,Excellent product,2024-01-10,Yes,5,Positive
28,CUST00028,customer00028@hotmail.com,Backpack,Accessories,Puma,1855.48,2.0,waste of money,2024-05-18,Yes,22,Negative
29,CUST00029,customer00029@hotmail.com,Coffee Mug,Kitchen,Puma,4184.48,3.0,Can be better,2024-07-03,No,22,Neutral
30,CUST00030,customer00030@yahoo.com,Wireless Mouse,Electronics,Sony,4671.61,2.0,Poor quality,2024-10-02,No,26,Negative
31,CUST00031,customer00031@outlook.com,Running Shoes,Fashion,Nike,2779.61,2.0,Product damaged,2024-11-17,Yes,1,Negative
32,CUST00032,customer00032@outlook.com,Smart Watch,Electronics,Sony,3484.39,4.0,Happy with purchase,2024-11-27,Yes,19,Positive
33,CUST00033,customer00033@hotmail.com,Backpack,Accessories,Nike,368.78,2.0,,2024-07-11,Yes,11,Negative
34,CUST00034,customer00034@gmail.com,Backpack,Accessories,HP,4573.19,2.0,Waste of money,2024-05-02,No,38,Negative
35,CUST00035,customer00035@outlook.com,Laptop Bag,Accessories,Nike,3837.07,3.0,Can be better,2024-12-06,Yes,47,Neutral
36,CUST00036,customer00036@outlook.com,Bluetooth Speaker,Electronics,Dell,3164.65,2.0,Product damaged,2024-08-25,No,48,Negative
37,CUST00037,customer00037@gmail.com,Running Shoes,Fashion,Dell,1227.61,2.0,Not good,2024-06-21,No,19,Negative
38,CUST00038,customer00038@gmail.com,Laptop Bag,Accessories,Nike,4204.0,2.0,,2024-08-22,Yes,31,Negative
39,CUST00039,customer00039@yahoo.com,Running Shoes,Fashion,HP,2099.9,5.0, Happy with purchase ,2024-11-17,No,38,Positive
40,CUST00040,customer00040@hotmail.com,Bluetooth Speaker,Electronics,Sony,3078.09,3.0,Average product,2024-06-19,Yes,47,Neutral
41,CUST00041,customer00041@outlook.com,Coffee Mug,Kitchen,Sony,2691.31,2.0,Waste of money,2024-03-09,No,49,Negative
42,CUST00042,customer00042@gmail.com,Face Wash,Beauty,Sony,1597.7,2.0,Poor quality,2024-05-14,No,3,Negative
43,CUST00043,customer00043@gmail.com,Bluetooth Speaker,Electronics,Nike,2026.02,5.0,amazing product,2024-11-21,Yes,40,Positive
44,CUST00044,customer00044@hotmail.com,Smart Watch,Electronics,Dell,3999.69,2.0,Not good,2024-01-11,No,14,Negative
45,CUST00045,customer00045@outlook.com,Bluetooth Speaker,Electronics,Boat,2419.7,3.0, Okay for price ,2024-04-13,Yes,0,Neutral
46,CUST00046,customer00046@outlook.com,Laptop Bag,Accessories,Boat,1214.99,2.0,Waste of money,2024-12-24,Yes,34,Negative
47,CUST00047,customer00047@hotmail.com,Wireless Mouse,Electronics,Nike,3567.74,1.0,Waste of money,2024-01-05,No,19,Negative
48,CUST00048,customer00048@yahoo.com,Smart Watch,Electronics,Sony,430.25,3.0,okay for price,2024-11-23,Yes,49,Neutral
49,CUST00049,customer00049@yahoo.com,Coffee Mug,Kitchen,Dell,4603.1,4.0,Worth buying,2024-05-30,Yes,7,Positive
50,CUST00050,customer00050@gmail.com,Coffee Mug,Kitchen,Dell,782.58,5.0,Excellent product,2024-12-04,No,14,Positive
51,CUST00051,customer00051@outlook.com,Wireless Mouse,Electronics,Nike,4445.18,3.0,Can be better,2024-04-11,Yes,31,Neutral
52,CUST00052,customer00052@outlook.com,Coffee Mug,Kitchen,Sony,1267.61,5.0,,2024-06-21,Yes,42,Positive
53,CUST00053,customer00053@gmail.com,Running Shoes,Fashion,Sony,3535.04,4.0,Very good quality,2024-09-02,Yes,21,Positive
54,CUST00054,customer00054@yahoo.com,Smart Watch,Electronics,Sony,3665.51,2.0,Not good,2024-06-04,No,35,Negative
55,CUST00055,customer00055@gmail.com,Backpack,Accessories,Puma,1345.1,2.0,very disappointed,2024-03-03,Yes,13,Negative
56,CUST00056,customer00056@hotmail.com,Backpack,Accessories,Dell,3404.18,2.0,Very disappointed,2024-05-30,Yes,33,Negative
57,CUST00057,customer00057@yahoo.com,Backpack,Accessories,Boat,3274.3,1.0,Waste of money,2024-02-26,Yes,32,Negative
58,CUST00058,customer00058@yahoo.com,Coffee Mug,Kitchen,Puma,2194.15,4.0,Worth buying,2024-05-11,No,40,Positive
59,CUST00059,customer00059@yahoo.com,Smart Watch,Electronics,Boat,1573.79,3.0,Okay for price,2024-03-23,Yes,21,Neutral
60,CUST00060,customer00060@hotmail.com,Wireless Mouse,Electronics,Puma,2882.34,,,2024-03-06,No,39,Negative
61,CUST00061,customer00061@outlook.com,Laptop Bag,Accessories,Dell,2074.14,5.0,Very good quality,2024-05-31,Yes,15,Positive
62,CUST00062,customer00062@yahoo.com,Coffee Mug,Kitchen,Dell,2439.36,3.0,Average product,2024-12-20,Yes,11,Neutral
63,CUST00063,customer00063@gmail.com,Face Wash,Beauty,Sony,4131.51,1.0,Very disappointed,2024-03-02,Yes,46,Negative
64,CUST00064,customer00064@gmail.com,Wireless Mouse,Electronics,Dell,677.56,3.0,Can be better,2024-07-27,No,38,Neutral
65,CUST00065,customer00065@yahoo.com,Backpack,Accessories,Boat,4654.08,4.0,Happy with purchase,2024-03-13,Yes,26,Positive
66,CUST00066,customer00066@yahoo.com,Smart Watch,Electronics,Boat,3296.93,5.0,Worth buying,2024-05-03,No,21,Positive
67,CUST00067,customer00067@yahoo.com,Face Wash,Beauty,HP,1754.53,3.0,Can be better,2024-10-28,No,34,Neutral
68,CUST00068,customer00068@outlook.com,Backpack,Accessories,Puma,1131.31,2.0,Not good,2024-09-03,No,38,Negative
69,CUST00069,customer00069@outlook.com,Coffee Mug,Kitchen,HP,2925.01,2.0,Product damaged,2024-02-02,Yes,34,Negative
70,CUST00070,customer00070@gmail.com,Laptop Bag,Accessories,Puma,2243.56,1.0,Product damaged,2024-12-16,No,16,Negative
71,CUST00071,customer00071@gmail.com,Laptop Bag,Accessories,HP,4674.72,4.0,very good quality,2024-11-18,No,31,Positive
72,CUST00072,customer00072@hotmail.com,Coffee Mug,Kitchen,Boat,1502.54,5.0,very good quality,2024-03-23,Yes,11,Positive
73,CUST00073,customer00073@hotmail.com,Bluetooth Speaker,Electronics,Puma,4615.44,3.0,Can be better,2024-11-05,Yes,2,Neutral
74,CUST00074,customer00074@yahoo.com,Wireless Mouse,Electronics,Boat,4911.99,4.0,Amazing product,2024-03-15,Yes,37,Positive
75,CUST00075,customer00075@yahoo.com,Backpack,Accessories,Nike,4187.95,4.0,Very good quality,2024-02-20,Yes,21,Positive
76,CUST00076,customer00076@hotmail.com,Wireless Mouse,Electronics,Puma,4597.77,1.0,Very disappointed,2024-01-28,No,9,Negative
77,CUST00077,customer00077@yahoo.com,Smart Watch,Electronics,Dell,3867.79,5.0,Happy with purchase,2024-11-12,Yes,26,Positive
78,CUST00078,customer00078@hotmail.com,Running Shoes,Fashion,Puma,3943.86,1.0,Product damaged,2024-07-13,No,12,Negative
79,CUST00079,customer00079@gmail.com,Smart Watch,Electronics,HP,581.14,3.0,Okay for price,2024-03-01,No,41,Neutral
80,CUST00080,customer00080@hotmail.com,Face Wash,Beauty,Nike,3812.14,3.0,Okay for price,2024-02-09,Yes,23,Neutral
81,CUST00081,customer00081@hotmail.com,Backpack,Accessories,Sony,662.82,5.0,Amazing product,2024-11-12,No,45,Positive
82,CUST00082,customer00082@yahoo.com,Face Wash,Beauty,Sony,493.91,,Very disappointed,2024-11-02,No,38,Negative
83,CUST00083,customer00083@outlook.com,Running Shoes,Fashion,Boat,3516.04,5.0,Excellent product,2024-05-05,No,24,Positive
84,CUST00084,customer00084@yahoo.com,Backpack,Accessories,Sony,406.3,,Average product,2024-09-05,No,20,Neutral
85,CUST00085,customer00085@hotmail.com,Face Wash,Beauty,Sony,3667.07,1.0,Product damaged,2024-03-08,Yes,36,Negative
86,CUST00086,customer00086@yahoo.com,Wireless Mouse,Electronics,HP,2304.53,3.0,Can be better,2024-11-22,Yes,50,Neutral
87,CUST00087,customer00087@outlook.com,Smart Watch,Electronics,HP,1407.99,4.0,Happy with purchase,2024-12-06,No,13,Positive
88,CUST00088,customer00088@hotmail.com,Wireless Mouse,Electronics,,321.52,2.0,Very disappointed,2024-05-12,Yes,9,Negative
89,CUST00089,customer00089@yahoo.com,Laptop Bag,Accessories,Sony,1210.64,3.0,Average product,2024-07-06,No,20,Neutral
90,CUST00090,customer00090@hotmail.com,Wireless Mouse,Electronics,HP,1234.55,2.0,Waste of money,2024-11-03,Yes,21,Negative
91,CUST00091,customer00091@hotmail.com,Wireless Mouse,Electronics,HP,1860.24,3.0,Average product,2024-10-09,Yes,47,Neutral
92,CUST00092,customer00092@yahoo.com,Wireless Mouse,Electronics,Nike,2322.74,5.0,Excellent product,2024-12-16,Yes,9,Positive
93,CUST00093,customer00093@yahoo.com,Wireless Mouse,Electronics,Boat,1600.83,3.0,Okay for price,2024-01-10,No,15,Neutral
94,CUST00094,customer00094@yahoo.com,Coffee Mug,Kitchen,Puma,4335.78,4.0,very good quality,2024-07-02,No,14,Positive
95,CUST00095,customer00095@gmail.com,Laptop Bag,Accessories,Sony,4085.23,5.0,Very good quality,2024-10-16,No,35,Positive
96,CUST00096,customer00096@outlook.com,Face Wash,Beauty,HP,2025.4,4.0,Worth buying,2024-12-12,No,38,Positive
97,CUST00097,customer00097@outlook.com,Wireless Mouse,Electronics,Puma,593.4,2.0,Poor quality,2024-04-15,Yes,44,Negative
98,CUST00098,customer00098@yahoo.com,Backpack,Accessories,Puma,2579.96,1.0,Product damaged,2024-11-09,Yes,8,Negative
99,CUST00099,customer00099@outlook.com,Face Wash,Beauty,Puma,3733.55,4.0,Amazing product,2024-03-06,Yes,19,Positive
100,CUST00100,customer00100@gmail.com,Bluetooth Speaker,Electronics,Nike,2397.47,3.0,Average product,2024-06-05,Yes,27,Neutral
101,CUST00101,customer00101@hotmail.com,Running Shoes,Fashion,Puma,4065.66,1.0,Waste of money,2024-06-28,No,45,Negative
102,CUST00102,customer00102@outlook.com,Bluetooth Speaker,Electronics,HP,292.38,5.0,Excellent product,2024-03-19,No,35,Positive
103,CUST00103,customer00103@hotmail.com,Backpack,Accessories,Sony,928.58,1.0,Waste of money,2024-04-04,Yes,29,Negative
104,CUST00104,customer00104@outlook.com,Face Wash,Beauty,Boat,2314.1,5.0,Excellent product,2024-05-25,No,41,Positive
105,CUST00105,customer00105@hotmail.com,Coffee Mug,Kitchen,Boat,4262.83,1.0,Waste of money,2024-04-02,No,49,Negative
106,CUST00106,customer00106@hotmail.com,Laptop Bag,Accessories,Nike,2076.6,4.0,Amazing product,2024-08-12,Yes,40,Positive
107,CUST00107,customer00107@yahoo.com,Running Shoes,Fashion,HP,3198.11,1.0,Very disappointed,2024-05-17,Yes,12,Negative
108,CUST00108,customer00108@hotmail.com,Bluetooth Speaker,Electronics,Boat,2867.57,1.0,waste of money,2024-06-18,Yes,13,Negative
109,CUST00109,customer00109@gmail.com,Coffee Mug,Kitchen,Sony,2324.91,5.0,happy with purchase,2024-05-06,No,12,Positive
110,CUST00110,customer00110@yahoo.com,Face Wash,Beauty,HP,4057.75,2.0,Not good,2024-04-04,No,32,Negative
111,CUST00111,customer00111@gmail.com,Face Wash,Beauty,Sony,1955.74,1.0,Product damaged,2024-04-27,No,11,Negative
112,CUST00112,customer00112@gmail.com,Bluetooth Speaker,Electronics,Puma,4020.82,3.0,,2024-04-04,No,44,Neutral
113,CUST00113,customer00113@yahoo.com,Coffee Mug,Kitchen,Nike,1565.09,3.0,Okay for price,2024-12-07,No,46,Neutral
114,CUST00114,customer00114@hotmail.com,Wireless Mouse,Electronics,Nike,2753.05,3.0,Average product,2024-02-26,No,20,Neutral
115,CUST00115,customer00115@hotmail.com,Wireless Mouse,Electronics,,852.54,5.0,Happy with purchase,2024-02-07,Yes,31,Positive
116,CUST00116,customer00116@hotmail.com,Face Wash,Beauty,Sony,957.23,5.0,Worth buying,2024-11-13,Yes,36,Positive
117,CUST00117,customer00117@yahoo.com,Running Shoes,Fashion,Boat,3635.4,5.0,Amazing product,2024-08-03,Yes,47,Positive
118,CUST00118,customer00118@hotmail.com,Backpack,Accessories,Sony,987.63,4.0,Excellent product,2024-02-05,No,27,Positive
119,CUST00119,customer00119@gmail.com,Running Shoes,Fashion,Boat,635.02,1.0,Product damaged,2024-09-11,Yes,28,Negative
120,CUST00120,customer00120@outlook.com,Wireless Mouse,Electronics,Nike,4285.14,3.0,Average product,2024-06-04,No,14,Neutral
121,CUST00121,customer00121@yahoo.com,Running Shoes,Fashion,Nike,1276.15,1.0,Poor quality,2024-11-29,No,42,Negative
122,CUST00122,customer00122@yahoo.com,Smart Watch,Electronics,Sony,1214.74,3.0,Can be better,2024-06-20,Yes,21,Neutral
123,CUST00123,customer00123@hotmail.com,Coffee Mug,Kitchen,Sony,3270.03,2.0,Very disappointed,2024-09-10,No,23,Negative
124,CUST00124,customer00124@outlook.com,Wireless Mouse,Electronics,Puma,2486.96,2.0,Poor quality,2024-11-06,No,36,Negative
125,CUST00125,customer00125@yahoo.com,Backpack,Accessories,Dell,4181.13,2.0,very disappointed,2024-06-25,No,49,Negative
126,CUST00126,customer00126@yahoo.com,Bluetooth Speaker,Electronics,Boat,1447.33,2.0, Poor quality ,2024-05-17,No,4,Negative
127,CUST00127,customer00127@yahoo.com,Laptop Bag,Accessories,Dell,3316.33,4.0,Very good quality,2024-11-30,No,2,Positive
128,CUST00128,customer00128@yahoo.com,Laptop Bag,Accessories,Sony,1203.59,5.0,Excellent product,2024-07-18,Yes,20,Positive
129,CUST00129,customer00129@yahoo.com,Backpack,Accessories,Dell,2860.73,3.0, Average product ,2024-03-27,No,49,Neutral
130,CUST00130,customer00130@yahoo.com,Laptop Bag,Accessories,Nike,4585.01,1.0,Very disappointed,2024-06-10,Yes,9,Negative
131,CUST00131,customer00131@gmail.com,Face Wash,Beauty,Puma,3161.63,5.0,Happy with purchase,2024-03-09,Yes,41,Positive
132,CUST00132,customer00132@hotmail.com,Coffee Mug,Kitchen,Sony,4879.75,4.0,Excellent product,2024-12-30,No,6,Positive
133,CUST00133,customer00133@yahoo.com,Bluetooth Speaker,Electronics,Boat,2029.13,, Product damaged ,2024-11-05,No,43,Negative
134,CUST00134,customer00134@outlook.com,Bluetooth Speaker,Electronics,Puma,3748.53,4.0,Happy with purchase,2024-04-21,Yes,10,Positive
135,CUST00135,customer00135@hotmail.com,Laptop Bag,Accessories,Dell,2374.75,3.0,Okay for price,2024-07-14,No,8,Neutral
136,CUST00136,customer00136@outlook.com,Backpack,Accessories,Nike,2255.36,5.0,Very good quality,2024-08-19,No,8,Positive
137,CUST00137,customer00137@outlook.com,Running Shoes,Fashion,Sony,3432.98,5.0,Amazing product,2024-04-12,Yes,28,Positive
138,CUST00138,customer00138@outlook.com,Bluetooth Speaker,Electronics,Sony,3279.23,5.0, Amazing product ,2024-08-03,No,15,Positive
139,CUST00139,customer00139@yahoo.com,Smart Watch,Electronics,Dell,1503.65,4.0,Excellent product,2024-10-29,Yes,18,Positive
140,CUST00140,customer00140@gmail.com,Laptop Bag,Accessories,HP,1082.43,5.0,Happy with purchase,2024-10-14,No,44,Positive
141,CUST00141,customer00141@outlook.com,Bluetooth Speaker,Electronics,Nike,1524.77,1.0,Product damaged,2024-09-26,No,12,Negative
142,CUST00142,customer00142@outlook.com,Backpack,Accessories,Nike,3837.4,5.0,Amazing product,2024-05-13,Yes,30,Positive
143,CUST00143,customer00143@hotmail.com,Face Wash,Beauty,Dell,3953.82,1.0, Product damaged ,2024-10-04,Yes,27,Negative
144,CUST00144,customer00144@yahoo.com,Laptop Bag,Accessories,Boat,3704.37,3.0,Okay for price,2024-09-24,No,48,Neutral
145,CUST00145,customer00145@gmail.com,Backpack,Accessories,HP,2615.24,5.0,,2024-05-27,No,10,Positive
146,CUST00146,customer00146@hotmail.com,Backpack,Accessories,Nike,2524.22,5.0,Very good quality,2024-12-27,Yes,9,Positive
147,CUST00147,customer00147@outlook.com,Smart Watch,Electronics,Boat,4976.5,5.0,Very good quality,2024-06-07,No,31,Positive
148,CUST00148,customer00148@gmail.com,Backpack,Accessories,Nike,4951.54,3.0,Average product,2024-04-13,No,11,Neutral
149,CUST00149,customer00149@hotmail.com,Wireless Mouse,Electronics,Dell,4795.84,1.0,Very disappointed,2024-04-09,No,14,Negative
150,CUST00150,customer00150@gmail.com,Running Shoes,Fashion,Sony,1067.48,1.0,Poor quality,2024-11-03,Yes,31,Negative
151,CUST00151,customer00151@yahoo.com,Running Shoes,Fashion,HP,648.98,5.0,Very good quality,2024-10-23,Yes,45,Positive
152,CUST00152,customer00152@hotmail.com,Laptop Bag,Accessories,,3165.17,4.0,worth buying,2024-08-22,No,14,Positive
153,CUST00153,customer00153@hotmail.com,Laptop Bag,Accessories,Boat,2126.76,4.0,Worth buying,2024-11-20,Yes,25,Positive
154,CUST00154,customer00154@hotmail.com,Running Shoes,Fashion,Boat,3330.03,5.0,Happy with purchase,2024-02-14,No,22,Positive
155,CUST00155,customer00155@yahoo.com,Smart Watch,Electronics,HP,1219.91,3.0, can be better ,2024-09-14,Yes,34,Neutral
156,CUST00156,customer00156@outlook.com,Wireless Mouse,Electronics,Boat,1151.28,5.0,Amazing product,2024-09-01,No,14,Positive
157,CUST00157,customer00157@gmail.com,Laptop Bag,Accessories,Puma,4196.12,3.0,Okay for price,2024-09-28,Yes,18,Neutral
158,CUST00158,customer00158@outlook.com,Backpack,Accessories,Dell,3428.18,4.0,Excellent product,2024-08-10,Yes,24,Positive
159,CUST00159,customer00159@hotmail.com,Backpack,Accessories,HP,908.93,5.0,Worth buying,2024-01-19,Yes,36,Positive
160,CUST00160,customer00160@gmail.com,Running Shoes,Fashion,Sony,4181.28,1.0, Very disappointed ,2024-03-22,Yes,21,Negative
161,CUST00161,customer00161@yahoo.com,Backpack,Accessories,Sony,4865.69,2.0,Not good,2024-08-18,No,7,Negative
162,CUST00162,customer00162@yahoo.com,Bluetooth Speaker,Electronics,Dell,3670.56,5.0,,2024-08-24,No,4,Positive
163,CUST00163,customer00163@gmail.com,Laptop Bag,Accessories,Nike,850.4,3.0,Average product,2024-04-04,Yes,29,Neutral
164,CUST00164,customer00164@yahoo.com,Wireless Mouse,Electronics,Sony,611.97,1.0,Very disappointed,2024-03-01,Yes,31,Negative
165,CUST00165,customer00165@yahoo.com,Wireless Mouse,Electronics,HP,640.42,1.0,Product damaged,2024-11-03,No,27,Negative
166,CUST00166,customer00166@gmail.com,Laptop Bag,Accessories,Nike,958.38,5.0,Happy with purchase,2024-05-11,No,12,Positive
167,CUST00167,customer00167@hotmail.com,Face Wash,Beauty,Boat,2806.52,4.0, Amazing product ,2024-12-01,Yes,14,Positive
168,CUST00168,customer00168@gmail.com,Bluetooth Speaker,Electronics,Boat,4261.71,5.0,Amazing product,2024-05-06,Yes,44,Positive
169,CUST00169,customer00169@gmail.com,Smart Watch,Electronics,Boat,2816.66,4.0, Amazing product ,2024-10-10,No,2,Positive
170,CUST00170,customer00170@gmail.com,Bluetooth Speaker,Electronics,Sony,2397.26,4.0,Very good quality,2024-02-28,No,49,Positive
171,CUST00171,customer00171@outlook.com,Bluetooth Speaker,Electronics,Boat,3916.59,3.0,Okay for price,2024-09-08,Yes,19,Neutral
172,CUST00172,customer00172@yahoo.com,Running Shoes,Fashion,Dell,3726.93,4.0,Very good quality,2024-08-13,Yes,45,Positive
173,CUST00173,customer00173@hotmail.com,Smart Watch,Electronics,Boat,3456.42,1.0,Waste of money,2024-01-23,No,48,Negative
174,CUST00174,customer00174@hotmail.com,Running Shoes,Fashion,Boat,4714.77,4.0,Worth buying,2024-05-22,No,16,Positive
175,CUST00175,customer00175@gmail.com,Wireless Mouse,Electronics,Dell,1950.38,3.0,Okay for price,2024-04-22,Yes,17,Neutral
176,CUST00176,customer00176@outlook.com,Face Wash,Beauty,Puma,3912.38,4.0,Worth buying,2024-06-12,No,30,Positive
177,CUST00177,customer00177@yahoo.com,Coffee Mug,Kitchen,Nike,1340.49,4.0, Very good quality ,2024-08-10,No,37,Positive
178,CUST00178,customer00178@hotmail.com,Backpack,Accessories,Nike,4844.12,5.0,Amazing product,2024-11-30,Yes,44,Positive
179,CUST00179,customer00179@yahoo.com,Smart Watch,Electronics,HP,3421.55,2.0,Poor quality,2024-09-09,Yes,43,Negative
180,CUST00180,customer00180@outlook.com,Smart Watch,Electronics,Nike,4672.74,1.0, Very disappointed ,2024-04-07,Yes,33,Negative
181,CUST00181,customer00181@outlook.com,Smart Watch,Electronics,Boat,3391.48,4.0,Excellent product,2024-12-17,No,48,Positive
182,CUST00182,customer00182@hotmail.com,Coffee Mug,Kitchen,Sony,3937.64,1.0,waste of money,2024-03-16,Yes,46,Negative
183,CUST00183,customer00183@outlook.com,Bluetooth Speaker,Electronics,HP,4517.22,5.0,Happy with purchase,2024-08-08,No,16,Positive
184,CUST00184,customer00184@outlook.com,Wireless Mouse,Electronics,Sony,1694.85,3.0,Okay for price,2024-01-01,No,47,Neutral
185,CUST00185,customer00185@outlook.com,Wireless Mouse,Electronics,Sony,4046.14,4.0,Very good quality,2024-03-15,Yes,31,Positive
186,CUST00186,customer00186@hotmail.com,Bluetooth Speaker,Electronics,Sony,4591.45,5.0,Happy with purchase,2024-09-16,Yes,40,Positive
187,CUST00187,customer00187@hotmail.com,Backpack,Accessories,HP,4640.75,4.0,Amazing product,2024-01-02,No,36,Positive
188,CUST00188,customer00188@gmail.com,Smart Watch,Electronics,HP,4222.5,1.0,Product damaged,2024-02-13,Yes,31,Negative
189,CUST00189,customer00189@gmail.com,Laptop Bag,Accessories,Dell,2062.52,3.0,Okay for price,2024-09-19,No,24,Neutral
190,CUST00190,customer00190@yahoo.com,Wireless Mouse,Electronics,Dell,3631.61,3.0,Can be better,2024-08-12,Yes,38,Neutral
191,CUST00191,customer00191@hotmail.com,Bluetooth Speaker,Electronics,Nike,2894.35,4.0,Worth buying,2024-12-29,Yes,44,Positive
192,CUST00192,customer00192@hotmail.com,Wireless Mouse,Electronics,Nike,400.75,1.0, Waste of money ,2024-02-09,No,30,Negative
193,CUST00193,customer00193@yahoo.com,Wireless Mouse,Electronics,Puma,3332.33,4.0,Excellent product,2024-06-30,Yes,31,Positive
194,CUST00194,customer00194@hotmail.com,Coffee Mug,Kitchen,Dell,2969.28,5.0,Happy with purchase,2024-12-19,Yes,36,Positive
195,CUST00195,customer00195@outlook.com,Wireless Mouse,Electronics,Dell,1523.85,2.0,Product damaged,2024-03-24,Yes,15,Negative
196,CUST00196,customer00196@outlook.com,Laptop Bag,Accessories,Puma,3819.39,1.0,Waste of money,2024-02-13,No,27,Negative
197,CUST00197,customer00197@yahoo.com,Wireless Mouse,Electronics,Dell,574.23,5.0,Excellent product,2024-10-17,Yes,4,Positive
198,CUST00198,customer00198@outlook.com,Backpack,Accessories,Dell,1084.94,5.0,Happy with purchase,2024-10-06,No,9,Positive
199,CUST00199,customer00199@gmail.com,Backpack,Accessories,Dell,1699.86,5.0,Excellent product,2024-12-20,Yes,33,Positive
200,CUST00200,customer00200@hotmail.com,Smart Watch,Electronics,Sony,521.09,5.0, Very good quality ,2024-10-15,No,12,Positive
201,CUST00201,customer00201@yahoo.com,Laptop Bag,Accessories,Nike,3288.07,,Waste of money,2024-12-09,Yes,45,Negative
202,CUST00202,customer00202@hotmail.com,Bluetooth Speaker,Electronics,HP,3626.74,2.0,poor quality,2024-05-08,Yes,9,Negative
203,CUST00203,customer00203@gmail.com,Wireless Mouse,Electronics,HP,3737.52,1.0,Very disappointed,2024-07-14,Yes,1,Negative
204,CUST00204,customer00204@yahoo.com,Face Wash,Beauty,Nike,4964.93,5.0,Amazing product,2024-04-24,No,11,Positive
205,CUST00205,customer00205@hotmail.com,Smart Watch,Electronics,Nike,4825.49,4.0,Worth buying,2024-05-05,No,10,Positive
206,CUST00206,customer00206@gmail.com,Laptop Bag,Accessories,,4349.52,4.0,Amazing product,2024-10-20,No,50,Positive
207,CUST00207,customer00207@gmail.com,Backpack,Accessories,Nike,2018.14,5.0,Excellent product,2024-06-13,No,47,Positive
